id,content_id,cost_type,amount,currency,cost_dt,vendor,description
770e8400-e29b-41d4-a716-446655440024,550e8400-e29b-41d4-a716-446655440017,production,1200.00,USD,2024-03-25 12:00:00+00,Email Platform,Newsletter template design
770e8400-e29b-41d4-a716-446655440025,550e8400-e29b-41d4-a716-446655440018,production,4500.00,USD,2024-03-26 14:00:00+00,Social Media Agency,LinkedIn optimization
770e8400-e29b-41d4-a716-446655440026,550e8400-e29b-41d4-a716-446655440019,production,8500.00,USD,2024-04-01 16:00:00+00,Video Production Co,Financial services video
770e8400-e29b-41d4-a716-446655440027,550e8400-e29b-41d4-a716-446655440020,production,2800.00,USD,2024-04-05 11:00:00+00,Content Studio,AI education research
770e8400-e29b-41d4-a716-446655440028,550e8400-e29b-41d4-a716-446655440021,production,12000.00,USD,2024-04-10 13:00:00+00,Video Production Co,TikTok business setup video
770e8400-e29b-41d4-a716-446655440029,550e8400-e29b-41d4-a716-446655440021,paid_media,3000.00,USD,2024-04-15 13:00:00+00,TikTok Ads,Paid promotion
770e8400-e29b-41d4-a716-446655440030,550e8400-e29b-41d4-a716-446655440022,production,1800.00,USD,2024-04-15 15:00:00+00,Content Studio,Sales pipeline research
770e8400-e29b-41d4-a716-446655440031,550e8400-e29b-41d4-a716-446655440023,production,15000.00,USD,2024-04-20 10:00:00+00,Video Production Co,E-commerce journey video
770e8400-e29b-41d4-a716-446655440032,550e8400-e29b-41d4-a716-446655440024,production,3200.00,USD,2024-04-25 12:00:00+00,Content Studio,Patient engagement research
770e8400-e29b-41d4-a716-446655440033,550e8400-e29b-41d4-a716-446655440025,production,2200.00,USD,2024-04-26 14:00:00+00,Content Studio,Technology stack research
770e8400-e29b-41d4-a716-446655440034,550e8400-e29b-41d4-a716-446655440026,production,6800.00,USD,2024-05-01 16:00:00+00,Social Media Agency,Instagram Reels creation
770e8400-e29b-41d4-a716-446655440035,550e8400-e29b-41d4-a716-446655440027,production,12000.00,USD,2024-05-05 11:00:00+00,Video Production Co,Customer onboarding video
770e8400-e29b-41d4-a716-446655440036,550e8400-e29b-41d4-a716-446655440028,production,15000.00,USD,2024-05-10 13:00:00+00,Ad Agency,Paid search campaign
770e8400-e29b-41d4-a716-446655440037,550e8400-e29b-41d4-a716-446655440028,paid_media,35000.00,USD,2024-05-15 13:00:00+00,Search Platforms,Paid search spend
770e8400-e29b-41d4-a716-446655440038,550e8400-e29b-41d4-a716-446655440029,production,18000.00,USD,2024-05-15 15:00:00+00,Video Production Co,Educational video production
770e8400-e29b-41d4-a716-446655440039,550e8400-e29b-41d4-a716-446655440030,production,15000.00,USD,2024-05-20 10:00:00+00,Video Production Co,Sales training video
770e8400-e29b-41d4-a716-446655440040,550e8400-e29b-41d4-a716-446655440030,tooling,800.00,USD,2024-05-20 10:00:00+00,Training Platform,Training platform license 
